canton;gdp;population;immigration
Aargau;44938;0.698579;9.399
Appenzell A. Rh.;3598;0.055447;0.501
Appenzell I. Rh.;1157;0.0163265;0.135
Basel-Landschaft;21616;0.291893;3.053
Basel-Stadt;40026;0.1963855;5.965
Berne;85141;1.0453025;12.238
Fribourg;20277;0.3276525;4.93
Geneva;56229;0.50789550000000006;18.579
Glarus;2988;0.0410205;0.593
Graubünden;15542;0.200736;3.873
Jura;5353;0.0737535;0.635
Lucerne;30123;0.4183365;5.833
Neuchâtel;17696;0.17603;3.043
Nidwalden;3148;0.043707;0.555
Obwalden;2736;0.0382715;0.528
Schaffhausen;8302;0.083551;1.33
Schwyz;10885;0.162923;2.166
Solothurn;19458;0.2788535;3.712
St. Gallen;42141;0.5168745;8.691
Thurgau;19328;0.2844365;4.383
Ticino;33365;0.3515835;6.409
Uri;2089;0.036933;0.618
Valais;20321;0.350856;7.786
Vaud;63039;0.818865;23.544
Zug;22641;0.1292905;3.003
Zurich;152931;1.5590425;34.122
